日付,最高気温(°C),最低気温(°C),平均気温(°C),降水量(mm),雨量(mm),降雪量(cm),日照時間(秒),最大風速(km/h),天気コード
2021-01-01,9.6,-4.6,2.0,0.0,0.0,0.0,33670.91,28.2,1
2021-01-02,8.6,-3.2,2.4,0.0,0.0,0.0,32991.25,18.4,2
2021-01-03,7.2,-0.9,2.4,0.0,0.0,0.0,31703.93,15.6,3
2021-01-04,10.1,-1.2,4.2,0.0,0.0,0.0,34246.38,17.3,3
2021-01-05,8.9,-0.9,3.7,0.0,0.0,0.0,26529.04,18.8,3
2021-01-06,7.7,1.3,4.3,0.0,0.0,0.0,25183.17,19.9,3
2021-01-07,10.8,0.0,4.3,0.0,0.0,0.0,34487.62,62.5,3
2021-01-08,5.1,-4.6,0.3,0.0,0.0,0.0,33157.19,30.6,2
2021-01-09,7.8,-3.7,1.2,0.0,0.0,0.0,34841.31,19.5,2
2021-01-10,7.2,-5.0,0.6,0.0,0.0,0.0,34895.27,18.2,3
2021-01-11,6.2,-3.8,1.1,0.0,0.0,0.0,27850.13,23.2,3
2021-01-12,3.9,-0.5,1.7,3.5,3.5,0.0,7093.76,21.0,53
2021-01-13,10.3,-0.8,4.6,0.0,0.0,0.0,35064.83,13.3,3
2021-01-14,13.2,-0.8,5.9,0.0,0.0,0.0,35123.55,28.0,0
2021-01-15,7.5,1.2,4.8,0.7,0.7,0.0,355.68,20.2,51
2021-01-16,17.9,0.5,7.8,0.0,0.0,0.0,35243.59,33.8,3
2021-01-17,7.7,2.5,4.9,0.2,0.2,0.0,17649.12,26.1,51
2021-01-18,7.5,0.8,3.5,0.0,0.0,0.0,28623.96,21.8,3
2021-01-19,8.4,-2.5,2.1,0.0,0.0,0.0,35428.54,48.9,0
2021-01-20,8.3,-2.1,2.6,0.0,0.0,0.0,35491.05,35.7,1
2021-01-21,10.1,-2.8,3.5,0.0,0.0,0.0,35553.82,16.8,3
2021-01-22,12.6,-0.4,6.3,0.0,0.0,0.0,30176.94,12.2,3
2021-01-23,7.5,1.8,5.6,18.0,18.0,0.0,0.0,30.8,61
2021-01-24,7.1,1.2,3.8,16.4,14.8,1.12,1987.67,32.8,73
2021-01-25,12.4,1.6,6.6,2.3,2.3,0.0,35805.3,19.1,53
2021-01-26,11.2,0.2,5.7,0.0,0.0,0.0,25911.92,17.5,3
2021-01-27,15.6,4.8,8.1,3.6,3.6,0.0,9665.27,40.9,53
2021-01-28,6.2,1.3,3.2,8.9,5.1,2.66,7661.84,22.0,75
2021-01-29,9.9,-0.6,3.6,0.0,0.0,0.0,36000.0,33.6,3
2021-01-30,8.1,-3.4,1.6,0.0,0.0,0.0,36000.0,26.2,3
2021-01-31,10.2,-3.1,2.9,0.0,0.0,0.0,36000.0,32.8,0
2021-02-01,11.8,-1.8,4.8,0.0,0.0,0.0,28800.0,35.0,3
2021-02-02,13.0,2.3,8.4,10.8,10.8,0.0,19984.33,34.4,63
2021-02-03,9.6,-2.5,3.5,0.0,0.0,0.0,36000.0,17.0,2
2021-02-04,12.8,-2.5,4.2,0.0,0.0,0.0,36000.0,35.9,2
2021-02-05,9.9,-0.5,4.2,0.0,0.0,0.0,36000.0,19.4,3
2021-02-06,11.9,1.3,6.3,0.0,0.0,0.0,33861.92,19.4,3
2021-02-07,14.9,1.7,7.9,0.3,0.3,0.0,36000.0,27.5,51
2021-02-08,7.9,1.2,4.2,0.0,0.0,0.0,29286.77,31.5,3
2021-02-09,9.2,-1.2,2.7,0.0,0.0,0.0,36000.0,38.4,2
2021-02-10,9.8,-1.7,4.3,0.0,0.0,0.0,36227.77,18.5,3
2021-02-11,12.9,0.6,6.5,0.0,0.0,0.0,36195.59,41.9,3
2021-02-12,11.6,0.2,5.9,0.0,0.0,0.0,29965.52,21.7,3
2021-02-13,14.9,2.8,8.8,0.0,0.0,0.0,36000.0,24.7,3
2021-02-14,17.5,4.6,10.7,0.0,0.0,0.0,36096.47,33.2,3
2021-02-15,14.1,9.1,12.1,48.7,48.7,0.0,3600.0,45.3,65
2021-02-16,14.3,3.3,8.5,0.0,0.0,0.0,36913.28,31.3,1
2021-02-17,11.4,0.1,5.6,1.5,1.1,0.28,29721.81,43.0,73
2021-02-18,7.5,-3.5,1.9,0.0,0.0,0.0,24181.78,21.2,3
2021-02-19,10.8,-1.1,4.3,0.0,0.0,0.0,37297.54,23.9,0
2021-02-20,15.7,-1.2,7.1,0.0,0.0,0.0,37521.05,44.6,0
2021-02-21,20.0,3.7,11.4,0.0,0.0,0.0,37158.75,22.8,2
2021-02-22,20.0,4.6,12.0,0.0,0.0,0.0,37962.65,34.8,0
2021-02-23,14.1,3.9,8.7,0.0,0.0,0.0,37891.9,46.9,3
2021-02-24,9.8,2.1,5.3,0.0,0.0,0.0,36607.14,34.5,3
2021-02-25,9.9,-0.2,5.1,0.0,0.0,0.0,37437.28,34.2,3
2021-02-26,11.7,3.8,7.1,0.2,0.2,0.0,8428.66,30.3,51
2021-02-27,7.8,0.6,4.5,0.0,0.0,0.0,38467.57,37.8,3
2021-02-28,11.4,-2.8,4.6,0.0,0.0,0.0,39091.99,19.2,3
2021-03-01,17.6,1.0,9.8,0.0,0.0,0.0,38663.55,37.2,3
2021-03-02,20.1,7.1,13.3,13.3,13.3,0.0,16378.75,55.7,63
2021-03-03,10.1,2.2,6.2,0.0,0.0,0.0,40102.93,49.6,3
2021-03-04,13.1,0.2,7.2,0.0,0.0,0.0,34634.15,18.8,3
2021-03-05,16.5,5.6,10.9,1.1,1.1,0.0,25374.53,13.1,51
2021-03-06,20.4,8.3,12.0,2.3,2.3,0.0,31558.69,44.8,53
2021-03-07,9.8,3.8,6.7,0.0,0.0,0.0,37022.5,21.9,3
2021-03-08,8.6,5.1,6.5,7.6,7.6,0.0,0.0,20.2,53
2021-03-09,13.9,4.0,8.6,0.0,0.0,0.0,35810.84,19.3,3
2021-03-10,17.0,4.8,9.3,0.0,0.0,0.0,41793.16,56.9,3
2021-03-11,14.2,0.6,7.8,0.0,0.0,0.0,41927.54,21.5,3
2021-03-12,15.6,5.3,11.0,1.9,1.9,0.0,20134.68,15.2,55
2021-03-13,15.9,8.4,11.6,63.8,63.8,0.0,3600.0,44.4,65
2021-03-14,16.5,6.3,10.6,0.0,0.0,0.0,42212.66,49.2,3
2021-03-15,16.8,6.2,10.5,0.0,0.0,0.0,42264.03,34.7,2
2021-03-16,19.6,2.9,11.1,0.0,0.0,0.0,42212.74,42.0,3
2021-03-17,16.2,5.8,10.5,0.0,0.0,0.0,41902.05,37.8,2
2021-03-18,15.9,1.8,9.4,0.0,0.0,0.0,42416.87,27.2,1
2021-03-19,16.5,7.1,11.2,0.0,0.0,0.0,32012.46,22.7,3
2021-03-20,18.2,8.8,12.7,0.2,0.2,0.0,31717.83,16.7,51
2021-03-21,18.5,13.9,16.6,27.7,27.7,0.0,0.0,57.3,63
2021-03-22,14.9,7.1,11.0,3.2,3.2,0.0,28800.0,45.3,55
2021-03-23,13.2,3.4,8.9,0.0,0.0,0.0,42668.2,18.5,3
2021-03-24,17.9,3.8,11.7,0.0,0.0,0.0,42718.09,30.9,3
2021-03-25,17.0,10.8,13.3,0.1,0.1,0.0,11806.64,25.6,51
2021-03-26,18.4,8.1,12.5,0.0,0.0,0.0,42817.6,43.6,2
2021-03-27,16.8,4.6,11.5,0.0,0.0,0.0,39948.68,24.1,3
2021-03-28,18.5,13.1,15.6,8.1,8.1,0.0,9245.96,40.3,61
2021-03-29,21.2,13.6,17.1,33.6,33.6,0.0,42966.39,43.2,65
2021-03-30,22.3,13.2,16.9,0.2,0.2,0.0,37420.79,15.5,51
2021-03-31,21.0,12.7,16.3,2.1,2.1,0.0,42971.34,31.3,55
2021-04-01,19.9,11.6,15.1,0.8,0.8,0.0,32314.66,26.2,51
2021-04-02,19.4,11.9,14.8,0.0,0.0,0.0,29638.06,22.0,3
2021-04-03,21.0,10.1,15.4,0.0,0.0,0.0,43200.0,25.6,3
2021-04-04,21.1,13.9,16.9,5.6,5.6,0.0,22449.56,37.8,61
2021-04-05,17.1,8.5,13.2,23.9,23.9,0.0,6723.07,33.6,63
2021-04-06,13.1,5.8,9.5,0.0,0.0,0.0,32059.17,23.2,3
2021-04-07,16.7,6.2,11.6,0.2,0.2,0.0,43540.09,19.7,51
2021-04-08,16.4,8.2,12.1,0.2,0.2,0.0,34823.86,26.3,51
2021-04-09,15.9,5.4,10.4,0.1,0.1,0.0,34674.96,37.2,51
2021-04-10,13.8,5.8,9.4,0.0,0.0,0.0,43200.0,26.5,3
2021-04-11,17.1,5.3,11.5,0.0,0.0,0.0,44236.94,27.2,3
2021-04-12,18.6,6.7,13.6,0.0,0.0,0.0,42339.59,27.2,3
2021-04-13,20.2,12.4,15.4,2.8,2.8,0.0,15906.28,41.1,61
2021-04-14,19.9,9.4,16.0,13.0,13.0,0.0,3680.84,38.6,61
2021-04-15,14.4,5.9,10.0,0.6,0.6,0.0,43993.49,24.1,53
2021-04-16,17.5,7.4,12.5,0.0,0.0,0.0,27239.72,18.1,3
2021-04-17,18.4,12.8,15.1,23.6,23.6,0.0,0.0,49.8,63
2021-04-18,20.0,9.4,14.8,26.3,26.3,0.0,45999.45,38.5,65
2021-04-19,20.0,7.7,13.5,0.0,0.0,0.0,46320.63,31.9,3
2021-04-20,21.5,7.8,14.6,0.0,0.0,0.0,46394.54,26.6,2
